"specimen_code","species_name"
"NadubST009","Nanos_aff_ST009"
"STL10155155","Nanos_bicoloratus__STL10155"
"NadubSTL5001","Nanos_dubitatus_STL5001"
"Nano2STL35","Nanos_morpho_2__STL35"
"NanspSTL39","Nanos_sp__STL39"
"STL10147147","Nanos_sp1__STL10147"
"STL10206206","Nanos_sp10__STL10206"
"STL10207207","Nanos_sp11__STL10207"
"STL10153153","Nanos_sp2__STL10153"
"STL10215215","Nanos_sp4__STL10215"
"STL10202202","Nanos_sp5__STL10202"
"Nano6STL5002","Nanos_sp6__STL5002"
"Nasp7STL5005","Nanos_sp7__STL5005"
"STL10204204","Nanos_sp8__STL10204"
"Nano9STL5004","Nanos_sp9__STL5004"
"NavadST011","Nanos_vadoni_ST011"
"STL52Nrot","Nesosisyphus__rotundatus_STL52"
"NepygSTL3","Nesosisyphus_pygmaeus__STL3"
"NeregSTL2","Nesosisyphus_regnardi__STL2"
"NevicSTL1","Nesosisyphus_vicinus__STL1"
"NevinSTL34","Nesovinsionia_vinsoni__STL34"
"NevinSTL4","Nesovinsionia_vinsoni__STL4"
"NicorbUCE","Nicrophorus_orbicollis_Nicorb_UCE"
"NicvesUCE","Nicrophorus_vespilloides_Nicves_UCE"
"Ochi1STL25","Ochichanton_sp1__STL25"
"STL1004848","Odontoloma_planatum__STL10048"
"STL1028843","Odontoloma_sp1__STL10288"
"Omor1COL3918","Omorgus_sp_COL3918"
"OncinST004","Oniticellus_cinctus_ST004"
"STL10119119","Oniticellus_planatus__STL10119"
"STL1004141","Onitis_alexis__STL10041"
"STL1004242","Onitis_caffer__STL10042"
"OnuncSTL10031","Onitis_uncinatus__STL10031"
"STL1008181","Onthophagus_Bicornonthophagus_interstitialis__STL10081"
"STL10298Muell","Onthophagus_cf_muelleri__STL10298"
"OnbicSTL10006","Onthophagus_cf.bicavifrons_STL10006"
"STL10109109","Onthophagus_Euonthophagus_flavimargo__STL10109"
"STL1008383","Onthophagus_Furconthophagus_variegatus__STL10083"
"STL10114114","Onthophagus_Gibbonthophagus_rectecornutus__STL10114"
"STL10308Water","Onthophagus_Hikidaeus_waterstradti__STL10308"
"STL10115115","Onthophagus_Micronthophagus_sp1__STL10115"
"STL10304Giellus1","Onthophagus_Onthophagiellus_cf_sp1__STL10304"
"STL10133133","Onthophagus_Palaeonthophagus_gibbulus__STL10133"
"STL10113113","Onthophagus_Paraphanaeomorphus_aff_phanaeiformis__STL10113"
"STL10111111","Onthophagus_Parascatonomus_tricornis__STL10111"
"OnpipSTL5018","Onthophagus_pipitzi__STL5018"
"OnproSTL10015","Onthophagus_probus_STL10015"
"STL10299Quasi","Onthophagus_Pseudophanaeomorphus_quasijohkii_aff__STL10299"
"STL10110110","Onthophagus_Serrophorus_seniculus__STL10110"
"STL1008484","Onthophagus_sl_baeri__STL10084"
"STL10301Bati","Onthophagus_sl_batillifer__STL10301"
"STL10306Borne","Onthophagus_sl_borneensis__STL10306"
"STL1004646","Onthophagus_sl_cf_quadrimaculatus__STL10046"
"STL10130130","Onthophagus_sl_giraffa__STL10130"
"STL10302Laevis","Onthophagus_sl_laevis__STL10302"
"STL10131131","Onthophagus_sl_lamelliger__STL10131"
"STL10100100","Onthophagus_sl_leucopygus__STL10100"
"STL10101101","Onthophagus_sl_pilosus__STL10101"
"STL10315ONTHM","Onthophagus_sl_sp1_cf_gr_STL10315"
"STL1008080","Onthophagus_sl_vinctus__STL10080"
"STL10307Vulpe","Onthophagus_sl_vulpes__STL10307"
"STL10305Obsc","Onthophagus_sstr_obscurior__STL10305"
"STL10303Sune2","Onthophagus_Sunenaga_streltsovi_cf__STL10303"
"OntauST002","Onthophagus_taurus_ST002"
"OntriSTL10225","Onycothechus_tricornigeris_STL10225"
"STL10310ORPH","Orphninae_sp1__STL10310"
"OryborUCE","Oryctes_borbonicus_Orybor_UCE"
"OryrhiUCE","Oryctes_rhinoceros_Oryrhi_UCE"
"STL10128128","Pachylomera_femoralis__STL10128"
"STL10127127","Pachysoma_hippocrates__STL10127"
"ParhoSTL10037","Panelus_rhodesiensis__STL10037"
"Pane3STL51","Panelus_sp3__STL51"
"STL1029312722","Paragymnopleurus_sp__STL10092"
"STL1009292","Paragymnopleurus_sp__STL10293"
"STL1009393","Paraphytus_cf_hindu__STL10093"
"STL1009191","Parascatonomus_anceyi__STL10091"
"STL1032336","Pedaria_sp__STL10323"
"Pesp1STL10016","Pedaria_sp1__STL10016"
"Peda2STL10019","Pedaria_sp2__STL10019"
"STL1004545","Phalops_flavocinctus__STL10045"
"PdejPH043","Phanaeus_dejeani_PH043"
"PopjapUCE","Popillia_japonica_Popjap_UCE"
"STL1007979","Proagoderus_cf_lanista__STL10079"
"STL1009898","Proagoderus_sapphirinus__STL10098"
"ProbreUCE","Protaetia_brevitarsis_Probre_UCE"
"STL1007676","Pycnopanelus_krikkeni__STL10076"
"SacosST007","Sarophorus_costatus_ST007"
"SacosSTL10011","Sarophorus_costatus_STL10011"
"SacosST006","Sarrophorus_costatus_ST006"
"STL10251Scapto","Scaptocnemis_segregis__STL10251"
"STL1004444","Scarabaeolus_intricatus__STL10044"
"STL10210210","Scarabaeus_n_sp1__STL10210"
"ScwesSTL10034","Scarabaeus_westwoodi_STL10034"
"STL10117117","Sceliages_hippias__STL10117"
"SchipSTL10030","Sceliages_hippias_STL10030"
"Sema1COL035","Semanopterus_sp_COL035"
"Sisy10STL42","Sisyphini_sp_morpho_10__STL42"
"Sisy1STL18","Sisyphini_sp_morpho1__STL18"
"Sisy6STL23","Sisyphini_sp_morpho6__STL23"
"Sisy8STL40","Sisyphini_sp_morpho8__STL40"
"SibarSTL8","Sisyphus_(Neosisyphus)__barbarossa__STL8"
"SicalSTL7","Sisyphus_(Neosisyphus)__calcaratus__STL7"
"SiinfSTL14","Sisyphus_(Neosisyphus)__infuscatus__STL14"
"SimirSTL11","Sisyphus_(Neosisyphus)__mirabilis__STL11"
"SirubSTL12","Sisyphus_(Neosisyphus)__rubrus__STL12"
"SispiSTL17","Sisyphus_(Neosisyphus)__spinipes_STL17"
"SiausSTL13","Sisyphus_australis__STL13"
"SigazSTL9","Sisyphus_gazanu_s__STL9"
"SiincSTL16","Sisyphus_inconspicuus__STL16"
"SimanSTL15","Sisyphus_manni__STL15"
"SimurSTL5","Sisyphus_muricatus__STL5"
"SischSTL44","Sisyphus_schaefferi_STL44"
"SisorSTL6","Sisyphus_sordidus_STL6"
"SiumbSTL10","Sisyphus_umbraphilus__STL10"
"STL10129129","Synapsis_sp__STL10129"
"Tanz1STL10223","Tanzanolus_sp1__STL10223"
"Tanz1STL10224","Tanzanolus_sp2__STL10224"
"TemlewUCE","Temnoplectron_lewisensis_Temlew_UCE"
"ThyrelUCE","Thyregis_relictus_Thyrel_UCE"
"Tric1COL1050","Trichaulax_sp_COL1050"
"TrydicUCE","Trypoxylus_dichotomus_Trydic_UCE"
"XidenSTL10004","Xinidium_dentilabris__STL10004"
"XidewSTL10008","Xinidium_dewitzi_STL10008"
"Xylo1COL066","Xylonichus_sp_COL066"
